tab	samples												
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
CS14-3	CS14	0.4	Intrusive:Igneous	Diabase	Diabase		63.1	0	55.8	98.7	-27	This study	SO-CMD-NORTH
CS14-4	CS14	0	Intrusive:Igneous	Diabase	Diabase		276.1	0	55.8	98.7	-65	This study	SO-CMD-NORTH
CS14-7	CS14	2	Intrusive:Igneous	Diabase	Diabase		20.1	0	55.8	98.7	-13	This study	SO-CMD-NORTH
CS14-8	CS14	40	Intrusive:Igneous	Diabase	Diabase		70.1	0	55.8	98.7	-29	This study	SO-CMD-NORTH
CS15-1	CS15	1.2	Intrusive:Igneous	Diabase	Diabase		79.1	0	69	98.9	-82	This study	SO-CMD-NORTH
CS15-2	CS15	0.5	Intrusive:Igneous	Diabase	Diabase		-10.9	0	69	98.9	-50	This study	SO-CMD-NORTH
CS15-3	CS15	0.6	Intrusive:Igneous	Diabase	Diabase		95.1	0	69	98.9	-5	This study	SO-CMD-NORTH
CS15-4	CS15	1.3	Intrusive:Igneous	Diabase	Diabase		-11.9	0	69	98.9	-23	This study	SO-CMD-NORTH
CS15-6	CS15	1.7	Intrusive:Igneous	Diabase	Diabase		28.1	0	69	98.9	-24	This study	SO-CMD-NORTH
CS15-7	CS15	0.7	Intrusive:Igneous	Diabase	Diabase		-22.9	0	69	98.9	-37	This study	SO-CMD-NORTH
CS15-8	CS15	0.4	Intrusive:Igneous	Diabase	Diabase		-38.9	0	69	98.9	-17	This study	SO-CMD-NORTH
CS7-1	CS7	0.9	Intrusive:Igneous	Diabase	Diabase		-28.9	0	61.5	106.3	-28	This study	SO-CMD-NORTH
CS8-1	CS8	0	Intrusive:Igneous	Diabase	Diabase		-46.9	0	54.6	133.7	-45	This study	SO-CMD-NORTH
CS8-2	CS8	0	Intrusive:Igneous	Diabase	Diabase		-45.9	0	54.6	133.7	-45	This study	SO-CMD-NORTH
CS8-3	CS8	0	Intrusive:Igneous	Diabase	Diabase		-52.9	0	54.6	133.7	-40	This study	SO-CMD-NORTH
CS8-4	CS8	0.005	Intrusive:Igneous	Diabase	Diabase		-38.9	0	54.6	133.7	-22	This study	SO-CMD-NORTH
CS8-5	CS8	0.005	Intrusive:Igneous	Diabase	Diabase		-42.9	0	54.6	133.7	-26	This study	SO-CMD-NORTH
CS8-6	CS8	0.25	Intrusive:Igneous	Diabase	Diabase		-52.9	0	54.6	133.7	-22	This study	SO-CMD-NORTH
CS8-7	CS8	0.7	Intrusive:Igneous	Diabase	Diabase		257.1	0	54.6	133.7	-30	This study	SO-CMD-NORTH
CS8-8	CS8	1	Intrusive:Igneous	Diabase	Diabase		172.1	0	54.6	133.7	-52	This study	SO-CMD-NORTH
CS8-9	CS8	0.15	Intrusive:Igneous	Diabase	Diabase		-47.9	0	54.6	133.7	-44	This study	SO-CMD-NORTH
CS11-6	CS11	0.34	Intrusive:Igneous	Diabase	Diabase		111.9	0	53	435.2	-62	This study	SO-CMD-NORTH
CS13-8	CS13	5.5	Intrusive:Igneous	Diabase	Diabase		1.2	0	82.9	416	-39	This study	SO-CMD-NORTH
CS1-1	CS1	1.9	Intrusive:Igneous	Diabase	Diabase		93.3	0	23.8	131	-79	This study	SO-CMD-NORTH
CS1-2	CS1	2.3	Intrusive:Igneous	Diabase	Diabase		-73.7	0	23.8	131	-19	This study	SO-CMD-NORTH
CS1-3	CS1	2.5	Intrusive:Igneous	Diabase	Diabase		27.3	0	23.8	131	-30	This study	SO-CMD-NORTH
CS1-4	CS1	3.7	Intrusive:Igneous	Diabase	Diabase		9.3	0	23.8	131	-23	This study	SO-CMD-NORTH
CS1-5	CS1	1.8	Intrusive:Igneous	Diabase	Diabase		204.3	0	23.8	131	-73	This study	SO-CMD-NORTH
CS1-6	CS1	1.1	Intrusive:Igneous	Diabase	Diabase		-5.7	0	23.8	131	-12	This study	SO-CMD-NORTH
CS1-7	CS1	1.6	Intrusive:Igneous	Diabase	Diabase		107.3	0	23.8	131	-75	This study	SO-CMD-NORTH
CS1-8	CS1	1.2	Intrusive:Igneous	Diabase	Diabase		92.3	0	23.8	131	-78	This study	SO-CMD-NORTH
CS2-1	CS2	0.4	Intrusive:Igneous	Diabase	Diabase		189.2	0	22.5	102.1	-91	This study	SO-CMD-NORTH
CS2-2	CS2	0.8	Intrusive:Igneous	Diabase	Diabase		134.2	0	22.5	102.1	-86	This study	SO-CMD-NORTH
CS2-3	CS2	0.1	Intrusive:Igneous	Diabase	Diabase		163.2	0	22.5	102.1	-84	This study	SO-CMD-NORTH
CS2-4	CS2	0.1	Intrusive:Igneous	Diabase	Diabase		25.2	0	22.5	102.1	-83	This study	SO-CMD-NORTH
CS2-5	CS2	0.25	Intrusive:Igneous	Diabase	Diabase		256.2	0	22.5	102.1	-32	This study	SO-CMD-NORTH
CS2-6	CS2	1.65	Intrusive:Igneous	Diabase	Diabase		135.2	0	22.5	102.1	-79	This study	SO-CMD-NORTH
CS2-7	CS2	0.5	Intrusive:Igneous	Diabase	Diabase		238.2	0	22.5	102.1	-32	This study	SO-CMD-NORTH
CS2-8	CS2	2	Intrusive:Igneous	Diabase	Diabase		-65.8	0	22.5	102.1	-29	This study	SO-CMD-NORTH
CS5-1	CS5	0.3	Intrusive:Igneous	Diabase	Diabase		190.2	0	54.9	441.1	-84	This study	SO-CMD-NORTH
CS5-2	CS5	0.7	Intrusive:Igneous	Diabase	Diabase		-53.8	0	54.9	441.1	-14	This study	SO-CMD-NORTH
CS5-3	CS5	1	Intrusive:Igneous	Diabase	Diabase		248.2	0	54.9	441.1	-33	This study	SO-CMD-NORTH
CS5-4	CS5	1	Intrusive:Igneous	Diabase	Diabase		216.2	0	54.9	441.1	-3	This study	SO-CMD-NORTH
CS5-5	CS5	0.4	Intrusive:Igneous	Diabase	Diabase		272.2	0	54.9	441.1	-22	This study	SO-CMD-NORTH
CS5-6	CS5	1.8	Intrusive:Igneous	Diabase	Diabase		-74.8	0	54.9	441.1	-36	This study	SO-CMD-NORTH
CS5-7	CS5	1.8	Intrusive:Igneous	Diabase	Diabase		256.2	0	54.9	441.1	-40	This study	SO-CMD-NORTH
CS5-8	CS5	2.2	Intrusive:Igneous	Diabase	Diabase		119.2	0	54.9	441.1	-53	This study	SO-CMD-NORTH
CS6-1	CS6	4.3	Intrusive:Igneous	Diabase	Diabase		106.2	0	54.4	444.4	-23	This study	SO-CMD-NORTH
CS6-2	CS6	2.1	Intrusive:Igneous	Diabase	Diabase		56.2	0	54.4	444.4	-34	This study	SO-CMD-NORTH
CS6-3	CS6	4.4	Intrusive:Igneous	Diabase	Diabase		137.2	0	54.4	444.4	-18	This study	SO-CMD-NORTH
CS6-4	CS6	4.9	Intrusive:Igneous	Diabase	Diabase		135.2	0	54.4	444.4	-38	This study	SO-CMD-NORTH
CS6-5	CS6	2.1	Intrusive:Igneous	Diabase	Diabase		153.2	0	54.4	444.4	-58	This study	SO-CMD-NORTH
CS6-6	CS6	1	Intrusive:Igneous	Diabase	Diabase		84.2	0	54.4	444.4	-42	This study	SO-CMD-NORTH
CS6-7	CS6	0.8	Intrusive:Igneous	Diabase	Diabase		-74.8	0	54.4	444.4	-51	This study	SO-CMD-NORTH
CS6-8	CS6	5	Intrusive:Igneous	Diabase	Diabase		170.2	0	54.4	444.4	-56	This study	SO-CMD-NORTH
CS14-5	CS14	0	Intrusive:Igneous	Diabase	Diabase		262.1	0	55.8	98.7	-100	This study	SO-CMD-NORTH
CS14-6	CS14	1.3	Intrusive:Igneous	Diabase	Diabase		52.1	0	55.8	98.7	-48	This study	SO-CMD-NORTH
CS15-5	CS15	1.3	Intrusive:Igneous	Diabase	Diabase		-32.9	0	69	98.9	-23	This study	SO-CMD-NORTH
UI1-1	UI1	0	Intrusive:Igneous	Diabase	Diabase		209	0	14	375.5	-18	This study	SO-CMD-NORTH
UI1-2	UI1	0	Intrusive:Igneous	Diabase	Diabase		30	0	14	375.5	-79	This study	SO-CMD-NORTH
UI1-3	UI1	0	Intrusive:Igneous	Diabase	Diabase		255	0	14	375.5	-11	This study	SO-CMD-NORTH
UI1-4	UI1	0	Intrusive:Igneous	Diabase	Diabase		213	0	14	375.5	-25	This study	SO-CMD-NORTH
UI1-5	UI1	0	Intrusive:Igneous	Diabase	Diabase		244	0	14	375.5	-16	This study	SO-CMD-NORTH
UI1-6	UI1	0	Intrusive:Igneous	Diabase	Diabase		1	0	14	375.5	-65	This study	SO-CMD-NORTH
UI1-7	UI1	0	Intrusive:Igneous	Diabase	Diabase		195	0	14	375.5	-109	This study	SO-CMD-NORTH
UI1-8	UI1	0	Intrusive:Igneous	Diabase	Diabase		190	0	14	375.5	-106	This study	SO-CMD-NORTH
UI2-1	UI2	0	Intrusive:Igneous	Diabase	Diabase		-20	0	23.9	325.4	-56	This study	SO-CMD-NORTH
UI2-2	UI2	0	Intrusive:Igneous	Diabase	Diabase		161	0	23.9	325.4	-51	This study	SO-CMD-NORTH
UI2-3	UI2	0	Intrusive:Igneous	Diabase	Diabase		25	0	23.9	325.4	-15	This study	SO-CMD-NORTH
UI2-4	UI2	0	Intrusive:Igneous	Diabase	Diabase		124	0	23.9	325.4	-38	This study	SO-CMD-NORTH
UI2-5	UI2	0	Intrusive:Igneous	Diabase	Diabase		156	0	23.9	325.4	-20	This study	SO-CMD-NORTH
UI2-6	UI2	0	Intrusive:Igneous	Diabase	Diabase		164	0	23.9	325.4	-63	This study	SO-CMD-NORTH
UI2-7	UI2	0	Intrusive:Igneous	Diabase	Diabase		200	0	23.9	325.4	-31	This study	SO-CMD-NORTH
UI2-8	UI2	0	Intrusive:Igneous	Diabase	Diabase		-48	0	23.9	325.4	-31	This study	SO-CMD-NORTH
UI3-1	UI3	0	Intrusive:Igneous	Diabase	Diabase		232	0	11.3	442.8	-20	This study	SO-CMD-NORTH
UI3-2	UI3	0	Intrusive:Igneous	Diabase	Diabase		-30	0	11.3	442.8	-79	This study	SO-CMD-NORTH
UI3-3	UI3	0	Intrusive:Igneous	Diabase	Diabase		-55	0	11.3	442.8	-11	This study	SO-CMD-NORTH
UI3-4	UI3	0	Intrusive:Igneous	Diabase	Diabase		-85	0	11.3	442.8	-8	This study	SO-CMD-NORTH
UI3-5	UI3	0	Intrusive:Igneous	Diabase	Diabase		252	0	11.3	442.8	-9	This study	SO-CMD-NORTH
UI3-6	UI3	0	Intrusive:Igneous	Diabase	Diabase		20	0	11.3	442.8	-7	This study	SO-CMD-NORTH
UI3-7	UI3	0	Intrusive:Igneous	Diabase	Diabase		-29	0	11.3	442.8	-77	This study	SO-CMD-NORTH
UI3-8	UI3	0	Intrusive:Igneous	Diabase	Diabase		-82	0	11.3	442.8	-12	This study	SO-CMD-NORTH
UI4-1	UI4	0	Intrusive:Igneous	Diabase	Diabase		252	0	28.7	390.6	-30	This study	SO-CMD-NORTH
UI4-2	UI4	0	Intrusive:Igneous	Diabase	Diabase		207	0	28.7	390.6	-49	This study	SO-CMD-NORTH
UI4-3	UI4	0	Intrusive:Igneous	Diabase	Diabase		193	0	28.7	390.6	-43	This study	SO-CMD-NORTH
UI4-4	UI4	0	Intrusive:Igneous	Diabase	Diabase		256	0	28.7	390.6	-42	This study	SO-CMD-NORTH
UI4-5	UI4	0	Intrusive:Igneous	Diabase	Diabase		244	0	28.7	390.6	-41	This study	SO-CMD-NORTH
UI4-7	UI4	0	Intrusive:Igneous	Diabase	Diabase		236	0	28.7	390.6	-15	This study	SO-CMD-NORTH
