pole_name,age,age_high,age_low,age_unit,age_uncertainty,citations,dir_alpha95,dir_polarity,dir_dec,dir_inc,dir_n_specimens,geologic_classes,geologic_types,height,lat,lithologies,location,lon,site,vgp_lat,vgp_lon,pole_name,dir_k,dir_n_samples,dir_tilt_correction,dir_r,vgp_lat_rev,vgp_lon_rev,vgp_dm,vgp_dp,paleolatitude
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,1.9,r,108.1,-69.3,9.0,Extrusive:Igneous,Lava Flow,763.1,48.7821,Basalt,Simpson Island,272.3684,SI3(20.1 to 28.9),-46.34726992027543,36.24691828950938,Osler reverse lower,,,,,46.34726992027543,216.24691828950938,,,-52.920308387592094
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,4.3,r,99.6,-70.5,6.0,Extrusive:Igneous,Lava Flow,779.9,48.7817,Basalt,Simpson Island,272.369,SI3(36.9 to 48.4),-42.637458365540525,41.59610986350708,Osler reverse lower,,,,,42.637458365540525,221.59610986350708,,,-54.6924566006785
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,3.6,r,127.5,-72.5,10.0,Extrusive:Igneous,Lava Flow,748.5,48.7826,Basalt,Simpson Island,272.3677,SI3(5.5 to 12.5),-58.23672531914481,38.86491703656918,Osler reverse lower,,,,,58.23672531914481,218.86491703656918,,,-57.764568406109916
Osler reverse lower,1108.0,1110.0,1105.15,Ma,uniform,Swanson-Hysell et al. 2014,4.3,r,105.6,-70.7,6.0,Extrusive:Igneous,Lava Flow,798.8,48.7812,Basalt,Simpson Island,272.3696,SI3(55.8 to 60.9),-45.870542266690606,39.849809870475156,Osler reverse lower,,,,,45.870542266690606,219.84980987047516,,,-54.99298416235213
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,4.3,r,120.7,-56.8,7.0,Extrusive:Igneous,Lava Flow,2089.0,48.7499,Basalt,Simpson Island,272.4047,SI4(106.0 to 121.4),-46.3815696019572,10.346127518157118,Osler reverse upper,,,,,46.3815696019572,190.34612751815712,,,-37.38272494893819
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,4.1,r,111.5,-50.9,7.0,Extrusive:Igneous,Lava Flow,2104.4,48.7494,Basalt,Simpson Island,272.4046,SI4(121.4 to 127.3),-36.85486347127017,10.36582260469089,Osler reverse upper,,,,,36.85486347127017,190.3658226046909,,,-31.601901846954355
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,4.7,r,109.6,-60.6,7.0,Extrusive:Igneous,Lava Flow,2116.8,48.749,Basalt,Simpson Island,272.4045,SI4(133.8 to 143.1),-41.63984922677454,21.8658380246261,Osler reverse upper,,,,,41.63984922677454,201.8658380246261,,,-41.58447298965046
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,4.0,r,151.1,-62.4,8.0,Extrusive:Igneous,Lava Flow,2143.4,48.7485,Basalt,Simpson Island,272.4042,SI4(160.4 to 171.1),-69.52326143183944,359.1392781600864,Osler reverse upper,,,,,69.52326143183944,179.1392781600864,,,-43.72368002531006
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,3.9,r,112.8,-52.5,12.0,Extrusive:Igneous,Lava Flow,3115.0,48.7363,Basalt,Simpson Island,272.3038,SI5a(0.0 to 9.0),-38.645514561703884,10.845944952783725,Osler reverse upper,,,,,38.645514561703884,190.84594495278373,,,-33.08877584836687
Osler reverse upper,1105.15,1105.48,1104.82,Ma,gaussian,Swanson-Hysell et al. 2014,2.3,r,114.7,-56.0,9.0,Extrusive:Igneous,Lava Flow,2955.0,48.7388,Basalt,Simpson Island,272.3145,SI5b(115.0 to 120.2),-41.99277224644118,13.202506647664734,Osler reverse upper,,,,,41.99277224644118,193.20250664766473,,,-36.54881863016425
